T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2.89000,1.00000,0.43202,0.21762,0.11984,0.06938,0.04096,0.02461,0.01490,0.00894,0.00526,0.00289,0.00116,0.00023,-0.00031,-0.00065,-0.00089,-0.00111,-0.00119,-0.00116,-0.00117,-0.00099,-0.00097,-0.00070,-0.00035,0.00011,0.00022,0.00030,0.00039,0.00039,0.00035,0.00008,0.00041,0.00043,0.00058,0.00065,0.00033,0.00014,-0.00018,-0.00042,-0.00027,-0.00007,-0.00010,-0.00021,-0.00023,-0.00004,0.00002,-0.00031,-0.00030,-0.00036,-0.00035,-0.00064
2.26000,1.00000,0.71769,0.61266,0.55967,0.52691,0.50417,0.48733,0.47422,0.46390,0.45542,0.44855,0.44290,0.43824,0.43439,0.43107,0.42826,0.42589,0.42377,0.42209,0.42083,0.41971,0.41873,0.41788,0.41712,0.41634,0.41570,0.41535,0.41512,0.41487,0.41462,0.41439,0.41418,0.41402,0.41384,0.41366,0.41355,0.41342,0.41301,0.41279,0.41248,0.41226,0.41210,0.41202,0.41197,0.41191,0.41188,0.41191,0.41196,0.41200,0.41191,0.41191
1.63000,1.00000,0.95996,0.95532,0.95466,0.95455,0.95453,0.95452,0.95452,0.95452,0.95452,0.95452,0.95451,0.95453,0.95452,0.95451,0.95451,0.95452,0.95452,0.95451,0.95452,0.95452,0.95451,0.95452,0.95451,0.95452,0.95452,0.95452,0.95452,0.95452,0.95451,0.95452,0.95452,0.95451,0.95452,0.95451,0.95452,0.95453,0.95452,0.95453,0.95452,0.95452,0.95453,0.95453,0.95452,0.95453,0.95452,0.95452,0.95451,0.95453,0.95453,0.95452
1.00000,1.00000,0.99859,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856,0.99856
2.90000,1.00000,0.43031,0.21604,0.11896,0.06913,0.04117,0.02473,0.01477,0.00903,0.00570,0.00380,0.00269,0.00218,0.00163,0.00105,0.00043,-0.00036,-0.00112,-0.00137,-0.00144,-0.00125,-0.00083,-0.00045,-0.00023,-0.00028,-0.00053,-0.00069,-0.00085,-0.00077,-0.00037,-0.00003,-0.00011,-0.00016,-0.00014,-0.00018,-0.00023,-0.00007,-0.00003,-0.00002,0.00010,0.00007,0.00006,-0.00016,-0.00058,-0.00079,-0.00052,-0.00032,0.00006,0.00036,0.00058,0.00074
2.27000,1.00000,0.70610,0.59329,0.53414,0.49622,0.46874,0.44756,0.43051,0.41639,0.40425,0.39366,0.38446,0.37646,0.36920,0.36267,0.35678,0.35158,0.34695,0.34294,0.33950,0.33641,0.33363,0.33123,0.32891,0.32678,0.32495,0.32342,0.32192,0.32052,0.31924,0.31815,0.31729,0.31646,0.31579,0.31531,0.31468,0.31419,0.31352,0.31297,0.31253,0.31200,0.31130,0.31035,0.30944,0.30867,0.30801,0.30761,0.30715,0.30670,0.30631,0.30607
1.64000,1.00000,0.95868,0.95386,0.95319,0.95306,0.95304,0.95304,0.95305,0.95305,0.95305,0.95306,0.95306,0.95306,0.95306,0.95305,0.95304,0.95304,0.95304,0.95304,0.95303,0.95305,0.95304,0.95304,0.95304,0.95305,0.95304,0.95306,0.95305,0.95304,0.95303,0.95306,0.95305,0.95305,0.95304,0.95305,0.95305,0.95306,0.95304,0.95305,0.95306,0.95305,0.95305,0.95305,0.95304,0.95305,0.95303,0.95303,0.95304,0.95305,0.95306,0.95303
1.01000,1.00000,0.97299,0.94874,0.92535,0.90254,0.88016,0.85809,0.83623,0.81456,0.79302,0.77159,0.75025,0.72901,0.70785,0.68677,0.66574,0.64476,0.62384,0.60297,0.58215,0.56137,0.54062,0.51991,0.49923,0.47857,0.45797,0.43742,0.41691,0.39643,0.37597,0.35553,0.33509,0.31466,0.29425,0.27386,0.25349,0.23320,0.21309,0.19331,0.17409,0.15573,0.13873,0.12362,0.11062,0.10005,0.09202,0.08640,0.08274,0.08051,0.07933,0.07897
2.91000,1.00000,0.42770,0.21291,0.11571,0.06587,0.03856,0.02301,0.01379,0.00818,0.00486,0.00279,0.00163,0.00113,0.00071,0.00040,0.00013,0.00010,0.00002,-0.00024,-0.00052,-0.00056,-0.00060,-0.00052,-0.00048,-0.00044,-0.00092,-0.00135,-0.00136,-0.00106,-0.00067,-0.00060,-0.00059,-0.00054,-0.00056,-0.00056,-0.00042,-0.00021,-0.00018,0.00019,0.00046,0.00095,0.00104,0.00074,0.00053,0.00017,0.00004,0.00018,0.00018,0.00019,0.00011,0.00007
2.28000,1.00000,0.70097,0.58588,0.52564,0.48727,0.45993,0.43911,0.42255,0.40891,0.39753,0.38810,0.38005,0.37299,0.36682,0.36168,0.35724,0.35358,0.35037,0.34758,0.34504,0.34294,0.34111,0.33946,0.33809,0.33695,0.33599,0.33492,0.33391,0.33281,0.33189,0.33126,0.33069,0.33020,0.32980,0.32930,0.32872,0.32804,0.32727,0.32650,0.32579,0.32526,0.32483,0.32433,0.32378,0.32310,0.32257,0.32195,0.32152,0.32136,0.32133,0.32132
