T,0,1,2,3,4,5
1.00000,1.00000,0.99856,0.99854,0.99853,0.99853,0.99853
1.84000,1.00000,0.91792,0.90340,0.90018,0.89934,0.89878
2.68000,1.00000,0.51171,0.32312,0.23522,0.19378,0.17977
1.01000,1.00000,0.99862,0.99860,0.99860,0.99860,0.99860
1.85000,1.00000,0.92315,0.91094,0.90898,0.90884,0.90878
2.69000,1.00000,0.50599,0.31766,0.23319,0.19422,0.18140
1.02000,1.00000,0.99821,0.99818,0.99818,0.99819,0.99818
1.86000,1.00000,0.91470,0.90030,0.89745,0.89717,0.89659
2.70000,1.00000,0.50028,0.30546,0.21444,0.17164,0.15671
1.03000,1.00000,0.99836,0.99830,0.99830,0.99830,0.99830
1.87000,1.00000,0.90706,0.88854,0.88388,0.88263,0.88222
2.71000,1.00000,0.48664,0.28675,0.19357,0.15113,0.13718
1.88000,1.00000,0.90726,0.89027,0.88705,0.88668,0.88649
1.04000,1.00000,0.99822,0.99818,0.99818,0.99818,0.99818
2.72000,1.00000,0.50124,0.31370,0.23150,0.19165,0.17774
1.89000,1.00000,0.91140,0.89625,0.89290,0.89260,0.89238
1.05000,1.00000,0.99759,0.99751,0.99751,0.99751,0.99750
2.73000,1.00000,0.49711,0.30734,0.22456,0.18620,0.17326
1.90000,1.00000,0.90417,0.88382,0.87728,0.87365,0.87272
1.06000,1.00000,0.99758,0.99750,0.99750,0.99750,0.99750
2.74000,1.00000,0.48999,0.29285,0.20277,0.16267,0.15007
1.91000,1.00000,0.89805,0.87888,0.87440,0.87354,0.87313
1.07000,1.00000,0.99768,0.99761,0.99761,0.99761,0.99761
2.75000,1.00000,0.47240,0.26701,0.17320,0.12912,0.11634
1.08000,1.00000,0.99743,0.99741,0.99741,0.99743,0.99741
1.92000,1.00000,0.90620,0.88899,0.88541,0.88485,0.88458
2.76000,1.00000,0.47861,0.27962,0.18804,0.14518,0.13200
1.09000,1.00000,0.99713,0.99704,0.99704,0.99704,0.99704
1.93000,1.00000,0.89955,0.88112,0.87736,0.87652,0.87600
2.77000,1.00000,0.47073,0.26741,0.17341,0.12980,0.11752
1.10000,1.00000,0.99665,0.99658,0.99658,0.99658,0.99658
1.94000,1.00000,0.89329,0.87178,0.86571,0.86388,0.86367
2.78000,1.00000,0.47550,0.27688,0.18598,0.14324,0.13105
1.11000,1.00000,0.99694,0.99684,0.99683,0.99683,0.99683
2.79000,1.00000,0.47681,0.28006,0.19316,0.15184,0.14042
1.95000,1.00000,0.88228,0.85495,0.84580,0.84200,0.84126
2.80000,1.00000,0.46226,0.25724,0.16631,0.12631,0.11507
1.12000,1.00000,0.99655,0.99638,0.99638,0.99638,0.99638
1.96000,1.00000,0.88750,0.86541,0.86012,0.85868,0.85841
2.81000,1.00000,0.46561,0.26155,0.16648,0.12202,0.11188
1.13000,1.00000,0.99683,0.99669,0.99668,0.99668,0.99668
1.97000,1.00000,0.88032,0.85340,0.84454,0.84143,0.84103
2.82000,1.00000,0.46095,0.25748,0.16706,0.12568,0.11226
1.14000,1.00000,0.99600,0.99589,0.99587,0.99587,0.99587
1.98000,1.00000,0.87916,0.85309,0.84665,0.84475,0.84409
1.15000,1.00000,0.99608,0.99593,0.99593,0.99593,0.99593
2.83000,1.00000,0.46015,0.25676,0.16536,0.12382,0.11217
1.99000,1.00000,0.88253,0.85872,0.85279,0.85142,0.85151
1.16000,1.00000,0.99562,0.99546,0.99545,0.99545,0.99547
2.84000,1.00000,0.44591,0.24115,0.15137,0.11253,0.10102
2.00000,1.00000,0.87353,0.84333,0.83428,0.83113,0.83042
1.17000,1.00000,0.99506,0.99491,0.99490,0.99490,0.99490
2.85000,1.00000,0.45416,0.24305,0.14658,0.10461,0.09342
2.01000,1.00000,0.86763,0.83487,0.82326,0.81836,0.81655
1.18000,1.00000,0.99527,0.99508,0.99508,0.99507,0.99506
2.86000,1.00000,0.44105,0.23063,0.13748,0.09824,0.08696
2.02000,1.00000,0.85936,0.82546,0.81506,0.81115,0.80991
1.19000,1.00000,0.99522,0.99509,0.99509,0.99509,0.99511
2.87000,1.00000,0.44180,0.23410,0.14102,0.10030,0.08932
2.03000,1.00000,0.85294,0.81284,0.79750,0.79052,0.78840
1.20000,1.00000,0.99361,0.99328,0.99326,0.99325,0.99325
2.88000,1.00000,0.44387,0.23572,0.14380,0.10354,0.09397
2.04000,1.00000,0.86418,0.83499,0.82609,0.82284,0.82168
1.21000,1.00000,0.99373,0.99350,0.99348,0.99347,0.99348
2.89000,1.00000,0.43350,0.22118,0.12853,0.08826,0.07719
2.05000,1.00000,0.84436,0.80158,0.78515,0.77774,0.77556
1.22000,1.00000,0.99413,0.99400,0.99400,0.99400,0.99400
