T,0,1,2,3,4,5,6,7,8,9,10
1.00000,1.00000,0.99864,0.99861,0.99861,0.99861,0.99861,0.99862,0.99861,0.99861,0.99861,0.99861
2.68000,1.00000,0.49375,0.29105,0.19183,0.13675,0.10354,0.08291,0.06965,0.06057,0.05627,0.05564
1.84000,1.00000,0.92227,0.90974,0.90752,0.90698,0.90690,0.90683,0.90678,0.90698,0.90691,0.90662
2.69000,1.00000,0.48910,0.28475,0.18333,0.12528,0.08712,0.06224,0.04602,0.03559,0.02968,0.02855
1.01000,1.00000,0.99841,0.99838,0.99838,0.99838,0.99838,0.99838,0.99838,0.99838,0.99838,0.99838
1.85000,1.00000,0.91941,0.90577,0.90296,0.90208,0.90194,0.90197,0.90206,0.90195,0.90191,0.90199
1.02000,1.00000,0.99814,0.99808,0.99809,0.99808,0.99808,0.99808,0.99808,0.99808,0.99808,0.99808
2.70000,1.00000,0.48081,0.27089,0.16614,0.10672,0.07044,0.04979,0.03732,0.02966,0.02515,0.02264
1.86000,1.00000,0.91348,0.89796,0.89450,0.89335,0.89297,0.89268,0.89262,0.89249,0.89247,0.89232
1.03000,1.00000,0.99822,0.99819,0.99819,0.99819,0.99819,0.99819,0.99819,0.99819,0.99820,0.99819
2.71000,1.00000,0.48030,0.27423,0.17194,0.11473,0.07980,0.05713,0.04276,0.03244,0.02748,0.02683
1.87000,1.00000,0.91235,0.89664,0.89289,0.89200,0.89174,0.89166,0.89161,0.89148,0.89160,0.89173
1.04000,1.00000,0.99821,0.99818,0.99818,0.99818,0.99818,0.99819,0.99818,0.99818,0.99818,0.99818
2.72000,1.00000,0.47927,0.27293,0.17238,0.11696,0.08247,0.06021,0.04622,0.03796,0.03379,0.03271
1.88000,1.00000,0.91184,0.89637,0.89279,0.89215,0.89197,0.89188,0.89181,0.89190,0.89200,0.89194
1.05000,1.00000,0.99774,0.99769,0.99769,0.99769,0.99769,0.99769,0.99769,0.99769,0.99769,0.99769
2.73000,1.00000,0.47564,0.26856,0.16789,0.11370,0.08153,0.06120,0.04778,0.03895,0.03487,0.03403
1.89000,1.00000,0.90921,0.89320,0.88951,0.88839,0.88828,0.88812,0.88815,0.88805,0.88778,0.88781
1.06000,1.00000,0.99791,0.99787,0.99787,0.99787,0.99787,0.99787,0.99787,0.99787,0.99787,0.99788
2.74000,1.00000,0.46882,0.25741,0.15330,0.09386,0.05742,0.03639,0.02286,0.01593,0.01277,0.01126
1.90000,1.00000,0.90308,0.88433,0.87980,0.87835,0.87812,0.87791,0.87776,0.87750,0.87752,0.87764
2.75000,1.00000,0.46829,0.25571,0.15058,0.09193,0.05637,0.03435,0.02140,0.01286,0.00766,0.00759
1.07000,1.00000,0.99765,0.99761,0.99760,0.99760,0.99761,0.99760,0.99761,0.99761,0.99760,0.99760
1.91000,1.00000,0.89930,0.87966,0.87501,0.87371,0.87347,0.87332,0.87337,0.87346,0.87353,0.87348
1.08000,1.00000,0.99720,0.99714,0.99714,0.99714,0.99714,0.99714,0.99713,0.99713,0.99713,0.99714
2.76000,1.00000,0.46805,0.25870,0.15602,0.09817,0.06280,0.04106,0.02646,0.01699,0.01073,0.00798
1.92000,1.00000,0.90191,0.88386,0.88011,0.87940,0.87919,0.87909,0.87918,0.87923,0.87929,0.87927
1.09000,1.00000,0.99719,0.99711,0.99711,0.99711,0.99711,0.99711,0.99711,0.99711,0.99711,0.99711
2.77000,1.00000,0.46589,0.25726,0.15745,0.10280,0.06973,0.04868,0.03479,0.02603,0.02164,0.02071
1.93000,1.00000,0.89466,0.87378,0.86840,0.86654,0.86569,0.86536,0.86547,0.86540,0.86530,0.86549
1.10000,1.00000,0.99687,0.99674,0.99673,0.99673,0.99673,0.99673,0.99673,0.99674,0.99674,0.99673
2.78000,1.00000,0.45653,0.24294,0.13998,0.08402,0.05133,0.03224,0.01970,0.01297,0.01002,0.00938
1.94000,1.00000,0.89345,0.87249,0.86695,0.86537,0.86506,0.86470,0.86461,0.86456,0.86455,0.86443
1.11000,1.00000,0.99676,0.99667,0.99667,0.99667,0.99667,0.99667,0.99667,0.99667,0.99667,0.99667
2.79000,1.00000,0.45880,0.24795,0.14586,0.08901,0.05423,0.03299,0.01919,0.01076,0.00594,0.00478
1.95000,1.00000,0.89292,0.87153,0.86609,0.86470,0.86435,0.86418,0.86417,0.86401,0.86411,0.86433
1.12000,1.00000,0.99638,0.99628,0.99627,0.99627,0.99627,0.99628,0.99628,0.99628,0.99628,0.99628
2.80000,1.00000,0.45547,0.24336,0.14174,0.08657,0.05511,0.03582,0.02380,0.01649,0.01091,0.00896
1.96000,1.00000,0.88439,0.86016,0.85394,0.85218,0.85149,0.85126,0.85136,0.85108,0.85111,0.85111
1.13000,1.00000,0.99601,0.99589,0.99588,0.99588,0.99589,0.99588,0.99588,0.99588,0.99588,0.99588
1.97000,1.00000,0.88290,0.85826,0.85210,0.85017,0.84968,0.84965,0.84945,0.84931,0.84940,0.84945
2.81000,1.00000,0.45625,0.24864,0.15119,0.09826,0.06664,0.04706,0.03509,0.02795,0.02452,0.02381
1.14000,1.00000,0.99605,0.99594,0.99593,0.99593,0.99593,0.99593,0.99593,0.99593,0.99593,0.99593
2.82000,1.00000,0.44701,0.23410,0.13433,0.08096,0.05044,0.03196,0.02118,0.01486,0.01095,0.00995
1.98000,1.00000,0.87827,0.85146,0.84362,0.84053,0.83931,0.83856,0.83840,0.83827,0.83816,0.83809
1.15000,1.00000,0.99561,0.99548,0.99547,0.99547,0.99547,0.99546,0.99547,0.99547,0.99546,0.99547
2.83000,1.00000,0.45034,0.23801,0.13870,0.08647,0.05530,0.03674,0.02673,0.02171,0.01946,0.01922
1.99000,1.00000,0.87813,0.85121,0.84342,0.84086,0.84004,0.83957,0.83936,0.83906,0.83895,0.83911
1.16000,1.00000,0.99547,0.99531,0.99530,0.99530,0.99530,0.99530,0.99530,0.99530,0.99530,0.99530
2.84000,1.00000,0.43959,0.22306,0.12073,0.06666,0.03439,0.01637,0.00465,-0.00233,-0.00641,-0.00668
2.00000,1.00000,0.87366,0.84656,0.83891,0.83619,0.83491,0.83455,0.83416,0.83402,0.83399,0.83392
1.17000,1.00000,0.99540,0.99523,0.99523,0.99524,0.99523,0.99523,0.99523,0.99524,0.99524,0.99523
2.85000,1.00000,0.44331,0.23181,0.13216,0.07903,0.04848,0.03044,0.01927,0.01392,0.01170,0.01084
2.01000,1.00000,0.86879,0.83806,0.82843,0.82449,0.82291,0.82185,0.82118,0.82097,0.82057,0.82044
1.18000,1.00000,0.99520,0.99502,0.99502,0.99502,0.99502,0.99502,0.99502,0.99502,0.99502,0.99503
2.86000,1.00000,0.43479,0.21948,0.11955,0.06947,0.04285,0.02798,0.02011,0.01487,0.01102,0.00912
2.02000,1.00000,0.86515,0.83291,0.82284,0.81890,0.81691,0.81637,0.81607,0.81622,0.81639,0.81638
1.19000,1.00000,0.99458,0.99439,0.99438,0.99437,0.99438,0.99437,0.99437,0.99437,0.99437,0.99437
2.87000,1.00000,0.43371,0.21752,0.11846,0.06719,0.03840,0.02276,0.01456,0.00818,0.00577,0.00543
2.03000,1.00000,0.86012,0.82527,0.81341,0.80826,0.80592,0.80441,0.80383,0.80337,0.80353,0.80390
1.20000,1.00000,0.99414,0.99389,0.99387,0.99387,0.99387,0.99387,0.99387,0.99387,0.99387,0.99389
2.88000,1.00000,0.43271,0.21743,0.11785,0.06642,0.03875,0.02451,0.01776,0.01590,0.01498,0.01595
2.04000,1.00000,0.85545,0.81994,0.80868,0.80477,0.80282,0.80169,0.80160,0.80147,0.80171,0.80162
1.21000,1.00000,0.99362,0.99340,0.99339,0.99340,0.99340,0.99339,0.99339,0.99339,0.99339,0.99340
2.89000,1.00000,0.43413,0.22154,0.12412,0.07323,0.04538,0.02959,0.02221,0.01781,0.01530,0.01445
2.05000,1.00000,0.85639,0.82332,0.81413,0.81122,0.81051,0.81005,0.80989,0.80988,0.80982,0.80992
1.22000,1.00000,0.99362,0.99327,0.99324,0.99324,0.99324,0.99324,0.99324,0.99325,0.99325,0.99325
2.90000,1.00000,0.42770,0.21252,0.11611,0.06696,0.04039,0.02398,0.01539,0.01110,0.00881,0.00840
2.06000,1.00000,0.85326,0.81856,0.80853,0.80454,0.80311,0.80260,0.80237,0.80240,0.80273,0.80258
1.23000,1.00000,0.99302,0.99269,0.99265,0.99265,0.99265,0.99266,0.99265,0.99266,0.99265,0.99266
2.91000,1.00000,0.42854,0.21300,0.11655,0.06690,0.04026,0.02459,0.01578,0.01027,0.00727,0.00586
2.07000,1.00000,0.85196,0.81680,0.80621,0.80242,0.80087,0.80031,0.80018,0.79994,0.79972,0.79954
1.24000,1.00000,0.99311,0.99278,0.99278,0.99278,0.99277,0.99277,0.99276,0.99276,0.99277,0.99276
2.92000,1.00000,0.42589,0.21041,0.11347,0.06320,0.03513,0.01884,0.00967,0.00428,0.00091,0.00017
2.08000,1.00000,0.83633,0.79392,0.77978,0.77434,0.77208,0.77126,0.77089,0.77071,0.77043,0.77082
1.25000,1.00000,0.99284,0.99256,0.99254,0.99256,0.99255,0.99256,0.99255,0.99255,0.99255,0.99255
2.93000,1.00000,0.42379,0.20892,0.11250,0.06349,0.03687,0.02276,0.01438,0.00948,0.00791,0.00745
2.09000,1.00000,0.83964,0.80039,0.78857,0.78430,0.78246,0.78203,0.78197,0.78199,0.78224,0.78233
1.26000,1.00000,0.99222,0.99185,0.99182,0.99182,0.99182,0.99183,0.99183,0.99182,0.99181,0.99182
2.94000,1.00000,0.42222,0.20661,0.10990,0.06173,0.03626,0.02398,0.01676,0.01306,0.01118,0.01080
2.10000,1.00000,0.83079,0.78502,0.76923,0.76276,0.75991,0.75821,0.75728,0.75669,0.75634,0.75642
1.27000,1.00000,0.99175,0.99141,0.99138,0.99139,0.99138,0.99138,0.99138,0.99138,0.99138,0.99141
2.95000,1.00000,0.41603,0.20083,0.10782,0.06053,0.03475,0.02052,0.01210,0.00698,0.00594,0.00510
2.11000,1.00000,0.82398,0.77647,0.75984,0.75256,0.74857,0.74641,0.74556,0.74542,0.74555,0.74540
1.28000,1.00000,0.99109,0.99063,0.99058,0.99058,0.99058,0.99058,0.99059,0.99059,0.99059,0.99059
2.96000,1.00000,0.41659,0.20264,0.10828,0.06118,0.03636,0.02287,0.01517,0.01056,0.00974,0.00934
2.12000,1.00000,0.81678,0.76372,0.74264,0.73165,0.72474,0.71999,0.71737,0.71563,0.71460,0.71445
1.29000,1.00000,0.99113,0.99069,0.99066,0.99066,0.99066,0.99067,0.99067,0.99067,0.99066,0.99066
2.97000,1.00000,0.41374,0.19893,0.10415,0.05763,0.03213,0.01943,0.01529,0.01357,0.01368,0.01335
2.13000,1.00000,0.81169,0.75689,0.73567,0.72583,0.72005,0.71670,0.71436,0.71323,0.71257,0.71214
1.30000,1.00000,0.99015,0.98969,0.98966,0.98968,0.98965,0.98965,0.98966,0.98967,0.98965,0.98964
2.98000,1.00000,0.41117,0.19550,0.10177,0.05576,0.03300,0.02069,0.01474,0.01077,0.00875,0.00707
2.14000,1.00000,0.81270,0.76016,0.74153,0.73279,0.72836,0.72645,0.72557,0.72537,0.72537,0.72506
1.31000,1.00000,0.98964,0.98915,0.98912,0.98913,0.98913,0.98912,0.98913,0.98912,0.98912,0.98914
2.99000,1.00000,0.40899,0.19388,0.10067,0.05472,0.03024,0.01598,0.00953,0.00795,0.00645,0.00610
2.15000,1.00000,0.80759,0.75183,0.73047,0.72018,0.71456,0.71119,0.70928,0.70766,0.70685,0.70642
1.32000,1.00000,0.98891,0.98820,0.98814,0.98813,0.98815,0.98814,0.98813,0.98813,0.98814,0.98813
3.00000,1.00000,0.40442,0.18779,0.09433,0.04962,0.02627,0.01345,0.00791,0.00567,0.00417,0.00389
2.16000,1.00000,0.80328,0.74461,0.72160,0.71024,0.70482,0.70177,0.70027,0.69946,0.69860,0.69820
1.33000,1.00000,0.98856,0.98789,0.98785,0.98783,0.98782,0.98783,0.98782,0.98785,0.98784,0.98782
3.01000,1.00000,0.40665,0.18963,0.09678,0.05194,0.02868,0.01543,0.00775,0.00289,0.00050,0.00075
2.17000,1.00000,0.79230,0.72894,0.70331,0.69076,0.68459,0.68106,0.67918,0.67816,0.67821,0.67810
1.34000,1.00000,0.98817,0.98742,0.98734,0.98733,0.98733,0.98732,0.98733,0.98733,0.98733,0.98732
3.02000,1.00000,0.40292,0.18853,0.09751,0.05368,0.03091,0.01923,0.01184,0.00840,0.00654,0.00623
2.18000,1.00000,0.79372,0.73156,0.70684,0.69501,0.68827,0.68483,0.68327,0.68289,0.68282,0.68262
1.35000,1.00000,0.98682,0.98594,0.98590,0.98587,0.98588,0.98589,0.98593,0.98589,0.98589,0.98589
3.03000,1.00000,0.40123,0.18561,0.09486,0.05129,0.02881,0.01647,0.00808,0.00475,0.00309,0.00256
2.19000,1.00000,0.78499,0.71933,0.69342,0.68096,0.67433,0.67137,0.66979,0.66856,0.66764,0.66734
1.36000,1.00000,0.98681,0.98592,0.98588,0.98588,0.98590,0.98588,0.98588,0.98590,0.98587,0.98587
3.04000,1.00000,0.39751,0.18128,0.08880,0.04431,0.02150,0.01068,0.00615,0.00359,0.00108,-0.00002
2.20000,1.00000,0.77469,0.70301,0.67237,0.65676,0.64818,0.64316,0.64012,0.63913,0.63886,0.63873
1.37000,1.00000,0.98581,0.98488,0.98479,0.98479,0.98481,0.98478,0.98481,0.98480,0.98480,0.98478
3.05000,1.00000,0.39887,0.18248,0.08967,0.04446,0.02309,0.01387,0.00847,0.00451,0.00291,0.00196
2.21000,1.00000,0.76927,0.69459,0.66104,0.64234,0.63062,0.62348,0.61838,0.61470,0.61309,0.61286
1.38000,1.00000,0.98502,0.98398,0.98385,0.98385,0.98386,0.98387,0.98384,0.98387,0.98387,0.98384
3.06000,1.00000,0.39787,0.18447,0.09401,0.05020,0.02753,0.01665,0.01183,0.00941,0.00836,0.00822
2.22000,1.00000,0.77005,0.69951,0.67151,0.65823,0.65150,0.64799,0.64598,0.64479,0.64381,0.64405
1.39000,1.00000,0.98512,0.98410,0.98402,0.98403,0.98403,0.98401,0.98404,0.98405,0.98402,0.98402
3.07000,1.00000,0.39330,0.17692,0.08642,0.04432,0.02505,0.01488,0.01000,0.00626,0.00242,0.00154
2.23000,1.00000,0.76438,0.69112,0.66210,0.64836,0.64167,0.63746,0.63563,0.63458,0.63395,0.63336
