T,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2.68000,1.00000,0.48710,0.27941,0.17500,0.11492,0.07821,0.05406,0.03791,0.02645,0.01904,0.01368,0.00945,0.00595,0.00371,0.00185,0.00022,-0.00097,-0.00213,-0.00204,-0.00231,-0.00205,-0.00127,-0.00081,-0.00088,-0.00087,-0.00081
1.00000,1.00000,0.99859,0.99856,0.99855,0.99855,0.99856,0.99856,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99855,0.99856,0.99856,0.99856,0.99855,0.99856,0.99855
1.84000,1.00000,0.92043,0.90684,0.90397,0.90329,0.90306,0.90296,0.90296,0.90296,0.90296,0.90301,0.90297,0.90299,0.90296,0.90297,0.90296,0.90301,0.90297,0.90294,0.90293,0.90299,0.90295,0.90296,0.90288,0.90291,0.90292
1.01000,1.00000,0.99835,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831,0.99831
2.69000,1.00000,0.48462,0.27634,0.17199,0.11231,0.07515,0.05044,0.03389,0.02321,0.01585,0.01032,0.00630,0.00337,0.00197,0.00078,0.00009,-0.00050,-0.00080,-0.00070,0.00003,-0.00025,-0.00067,-0.00071,-0.00028,-0.00018,-0.00021
1.85000,1.00000,0.91785,0.90354,0.90049,0.89975,0.89954,0.89944,0.89947,0.89940,0.89943,0.89942,0.89942,0.89944,0.89946,0.89945,0.89948,0.89943,0.89942,0.89943,0.89948,0.89948,0.89949,0.89948,0.89949,0.89947,0.89946
1.02000,1.00000,0.99834,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830,0.99830
2.70000,1.00000,0.48156,0.27343,0.17021,0.11127,0.07485,0.05121,0.03569,0.02509,0.01794,0.01328,0.00959,0.00702,0.00484,0.00298,0.00156,0.00005,-0.00079,-0.00150,-0.00167,-0.00157,-0.00105,-0.00099,-0.00074,-0.00079,-0.00079
1.86000,1.00000,0.91477,0.89951,0.89619,0.89532,0.89502,0.89490,0.89488,0.89487,0.89489,0.89491,0.89491,0.89488,0.89484,0.89482,0.89484,0.89485,0.89484,0.89486,0.89480,0.89483,0.89492,0.89493,0.89488,0.89485,0.89492
1.03000,1.00000,0.99820,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817,0.99817
