T,E,M,M_abs,Cv,Chim,Chim_abs
2.68000,-2235.3820022397,0.0056571802,0.0711362374,1602.7951463512,18699.6473771753,6973.0601808775
1.00000,-4792.9148904190,0.9992756553,0.9992756553,57.7922522239,3.8891573716,3.8891573716
1.84000,-4402.1499071917,0.9502466504,0.9502466504,1194.8170106099,333.2555522930,333.2555522930
1.01000,-4791.7208075478,0.9991511348,0.9991511348,67.5961770809,4.6695212142,4.6695212142
2.69000,-2222.7124976008,0.0003095144,0.0699271576,1531.6669840314,18556.8024528708,7195.9484209263
1.85000,-4388.7956022433,0.9483295986,0.9483295986,1221.5740116377,344.5364021057,344.5364021057
1.02000,-4791.7182020250,0.9991534650,0.9991534650,66.3593377680,4.5537171758,4.5537171758
2.70000,-2207.5953190396,0.0044194696,0.0788172229,1532.6092007055,22617.0298087984,8282.2545395530
1.86000,-4373.8785142465,0.9459868040,0.9459868040,1202.3079962541,377.1195602548,377.1195602548
1.03000,-4791.0329188484,0.9990857653,0.9990857653,68.8184368279,4.7472202707,4.7472202707
2.71000,-2195.3842191970,0.0141636973,0.0766444617,1519.8751485490,19719.5507640915,6634.3035591271
1.87000,-4366.8208662380,0.9452318719,0.9452318719,1275.8557859266,373.9640597369,373.9640597369
1.04000,-4790.2006638177,0.9990005573,0.9990005573,73.6475534759,5.1202968694,5.1202968694
2.72000,-2188.2620572746,0.0238064664,0.0838245860,1422.3881257502,25005.9740480146,10162.6528820015
1.88000,-4348.1890502382,0.9417376175,0.9417376175,1340.3351805105,451.7766475311,451.7766475311
1.05000,-4789.0476315027,0.9988778904,0.9988778904,83.1846101585,5.9048080835,5.9048080835
2.73000,-2166.1339302370,0.0160900312,0.0721495139,1393.5569810604,17560.6523894317,6235.8738989236
1.89000,-4338.1183471951,0.9408151419,0.9408151419,1401.5210419101,436.4680706775,436.4680706775
1.06000,-4788.7900539153,0.9988485255,0.9988485255,83.4837420547,6.0641140185,6.0641140185
2.74000,-2150.9694527925,0.0158818717,0.0727352029,1392.9474364086,18225.9580305394,6733.7685005287
1.90000,-4321.5006815887,0.9374886103,0.9374886103,1474.4047641445,557.5648309320,557.5648309320
1.07000,-4788.0024324548,0.9987649808,0.9987649808,88.4867411054,6.5785700386,6.5785700386
2.75000,-2140.5954796716,0.0054843200,0.0744844945,1333.2384438802,18849.8717259871,6309.2759311840
1.91000,-4306.8698422338,0.9349789765,0.9349789765,1507.4027420893,570.9756718836,570.9756718836
1.08000,-4525.9933612867,0.5169362925,0.5169362925,219.8978240790,65593.3440123180,65593.3440123180
2.76000,-2123.2047289536,0.0131349868,0.0789235764,1353.5535865380,19884.7520054840,6170.0712296046
1.92000,-4291.1647459089,0.9333722605,0.9333722605,1514.4908510097,511.9876517182,511.9876517182
1.09000,-4786.2111258965,0.9985844535,0.9985844535,99.7392495947,7.4383504928,7.4383504928
2.77000,-2114.5891187115,0.0197956636,0.0651188986,1385.8019581875,13858.3515692410,5174.6813017465
1.93000,-4273.5026975861,0.9284106770,0.9284106770,1635.4982943153,834.1930961434,834.1930961434
1.10000,-4785.5258478147,0.9985078128,0.9985078128,96.5103304429,7.4087228761,7.4087228761
2.78000,-2103.0411337525,0.0060023404,0.0718198326,1274.1658536740,17045.4009849557,5529.9777161055
1.94000,-4263.8601763034,0.9289236729,0.9289236729,1524.6412690991,567.0292986821,567.0292986821
1.11000,-4784.7314212920,0.9984287847,0.9984287847,100.8591077277,7.7701165752,7.7701165752
2.79000,-2087.1965055931,0.0051032716,0.0688125029,1391.6719143292,16709.9694632149,6160.8718456209
1.95000,-4255.2452322989,0.9279857709,0.9279857709,1558.4900466070,603.1238738858,603.1238738858
1.12000,-4782.7569950406,0.9982275173,0.9982275173,118.8244865655,9.1758638371,9.1758638371
2.80000,-2067.3466377521,0.0150012789,0.0608343111,1262.2252796945,11596.2348746642,3837.8084493970
1.96000,-4228.5001449391,0.9227668513,0.9227668513,1485.0005304477,637.3826059052,637.3826059052
1.13000,-4781.4297035676,0.9980754114,0.9980754114,125.0999733369,10.1136839520,10.1136839520
2.81000,-2056.0558975940,0.0077626742,0.0668182065,1321.5346338727,15601.9575624683,5805.6639408616
1.97000,-4215.9818108588,0.9199801594,0.9199801594,1694.2765556143,806.9260660219,806.9260660219
1.14000,-4779.4655717493,0.9978687718,0.9978687718,127.9694117146,10.4055089329,10.4055089329
2.82000,-2040.7609279925,0.0081856381,0.0644960959,1301.0176220114,14231.4012817589,5160.6084621249
1.98000,-4198.8825583888,0.9176954522,0.9176954522,1664.9539192066,902.8938856319,902.8938856319
1.15000,-4780.2383182875,0.9979564654,0.9979564654,130.7450837218,10.7338063889,10.7338063889
2.83000,-2039.6304575942,0.0093740384,0.0661124486,1306.1267269023,15467.5321560389,6008.6468440631
1.99000,-4178.4879769448,0.9132975392,0.9132975392,1900.0927322940,1103.6292128705,1103.6292128705
1.16000,-4778.0035125817,0.9977225652,0.9977225652,138.5460770274,11.4722309730,11.4722309730
2.84000,-2016.4256399970,0.0028067810,0.0670199156,1292.8118065827,15565.6684569307,5698.1705137963
